n,classic(ms),cirilo(ms)
345500,121.956000,64.119000
345600,120.382000,64.097000
345700,128.354000,69.954000
345800,130.924000,68.433000
345900,129.797000,67.182000
346000,124.768000,66.118000
346100,124.565000,67.752000
346200,125.169000,65.846000
346300,124.656000,66.180000
346400,125.324000,66.256000
346500,125.004000,66.160000
346600,121.713000,64.201000
346700,122.803000,66.389000
346800,123.638000,64.207000
346900,121.193000,64.139000
347000,121.339000,66.379000
347100,125.795000,66.465000
347200,123.846000,63.915000
347300,121.056000,65.537000
347400,121.103000,64.194000
347500,124.254000,67.270000
347600,126.370000,73.130000
347700,134.692000,68.743000
347800,130.854000,68.891000
347900,131.261000,73.477000
348000,132.143000,69.196000
348100,129.736000,68.825000
348200,125.905000,66.990000
348300,125.606000,66.561000
348400,125.531000,66.780000
348500,125.485000,67.430000
348600,126.337000,66.877000
348700,126.466000,67.708000
348800,132.191000,69.521000
348900,178.627000,95.043000
349000,174.458000,112.993000
349100,197.672000,96.551000
349200,190.431000,93.945000
349300,180.674000,99.751000
349400,206.102000,125.489000
349500,214.025000,96.338000
349600,171.880000,87.616000
349700,162.261000,81.314000
349800,147.647000,77.157000
349900,140.584000,77.041000
350000,157.372000,82.275000
350100,149.612000,76.453000
350200,142.073000,74.610000
350300,135.803000,69.962000
350400,132.166000,69.604000
350500,131.153000,69.694000
350600,130.105000,67.370000
350700,133.165000,69.442000
350800,128.239000,67.544000
350900,127.689000,71.237000
351000,168.546000,100.690000
351100,209.896000,120.530000
351200,220.023000,136.057000
351300,254.801000,126.043000
351400,267.164000,142.479000
351500,262.867000,148.510000
351600,254.229000,114.964000
351700,201.662000,101.326000
351800,180.270000,102.867000
351900,188.190000,138.336000
352000,249.425000,139.856000
352100,236.446000,144.630000
352200,288.912000,159.723000
352300,317.771000,171.617000
352400,296.429000,164.260000
352500,318.901000,164.560000
352600,242.973000,146.268000
352700,239.910000,115.384000
352800,201.121000,104.059000
352900,189.170000,99.944000
353000,181.562000,90.519000
353100,167.615000,85.401000
353200,152.317000,78.044000
353300,142.380000,72.327000
353400,136.809000,69.912000
353500,131.686000,69.687000
353600,129.162000,68.127000
353700,127.501000,67.643000
353800,127.334000,68.332000
353900,126.887000,65.625000
354000,123.576000,65.514000
354100,133.711000,72.077000
354200,136.112000,70.388000
354300,133.628000,70.067000
354400,132.533000,68.349000
354500,128.328000,67.789000
354600,128.127000,68.528000
354700,128.084000,68.525000
354800,128.011000,67.877000
354900,127.980000,67.909000
355000,127.689000,68.227000
355100,128.714000,67.052000
355200,123.832000,66.081000
355300,123.624000,66.355000
355400,124.317000,65.278000
355500,123.702000,66.031000
355600,128.723000,68.106000
355700,129.595000,69.054000
355800,149.816000,93.223000
355900,203.876000,119.927000
356000,233.322000,127.889000
356100,224.622000,139.227000
356200,271.965000,145.773000
356300,274.962000,166.687000
356400,298.431000,160.157000
356500,267.190000,123.898000
356600,232.880000,111.791000
356700,210.069000,122.123000
356800,226.473000,125.072000
356900,202.271000,103.545000
357000,179.279000,100.168000
357100,174.544000,101.881000
357200,166.853000,87.034000
357300,156.001000,79.229000
357400,145.378000,73.989000
357500,137.445000,71.107000
357600,133.398000,70.141000
357700,129.402000,68.846000
357800,129.244000,68.684000
357900,128.786000,66.638000
358000,124.753000,66.194000
358100,126.215000,69.639000
358200,129.024000,68.456000
358300,129.420000,68.392000
358400,130.198000,68.094000
358500,127.662000,68.713000
358600,129.265000,68.904000
358700,128.614000,66.524000
358800,129.192000,68.994000
358900,129.660000,69.524000
359000,129.953000,68.805000
359100,134.871000,77.643000
359200,137.159000,71.610000
359300,138.938000,73.263000
359400,134.551000,71.569000
359500,135.204000,71.157000
359600,132.734000,68.853000
359700,129.236000,68.698000
359800,129.632000,69.991000
359900,129.734000,69.058000
360000,130.298000,68.823000
360100,131.248000,71.234000
360200,131.656000,68.899000
360300,130.064000,69.119000
360400,129.537000,69.293000
360500,130.408000,68.705000
360600,129.914000,69.109000
360700,129.979000,68.920000
360800,130.294000,69.002000
360900,130.878000,69.006000
361000,128.238000,66.691000
361100,125.709000,66.875000
361200,125.640000,67.341000
361300,125.694000,66.813000
361400,129.705000,69.090000
361500,130.934000,68.056000
361600,125.933000,66.828000
361700,125.986000,67.386000
361800,125.892000,67.372000
361900,135.069000,75.409000
362000,135.125000,71.546000
362100,130.891000,69.142000
362200,130.968000,69.250000
362300,130.518000,69.268000
362400,127.239000,67.068000
362500,126.921000,66.579000
362600,126.110000,67.795000
362700,126.111000,67.339000
362800,131.197000,69.300000
362900,130.455000,68.828000
363000,126.208000,67.133000
363100,126.949000,70.004000
363200,130.312000,69.134000
363300,126.744000,67.135000
363400,126.317000,67.110000
363500,126.477000,67.140000
363600,129.305000,69.118000
363700,131.332000,67.879000
363800,126.609000,67.334000
363900,126.524000,67.299000
364000,130.848000,69.478000
364100,127.646000,67.470000
364200,127.139000,67.299000
364300,126.815000,67.520000
364400,130.911000,69.804000
364500,127.098000,68.044000
364600,127.325000,67.410000
364700,131.559000,69.770000
364800,130.304000,67.407000
364900,127.042000,67.567000
365000,127.266000,67.488000
365100,127.028000,69.301000
365200,131.336000,69.869000
365300,128.402000,67.638000
365400,127.104000,67.420000
365500,127.824000,67.546000
